LogID,Timestamp,ClientIP,HTTPMethod,StatusCode,RequestPath,Referer,UserAgent
1,29/Jan/2025:00:00:13 +0000,172.71.172.86,GET,301,/geju.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
2,29/Jan/2025:00:00:15 +0000,162.158.127.57,POST,200,/wp-cron.php?doing_wp_cron=1738108815.2177679538726806640625,-,WordPress/6.7.1; https://rootly.com
3,29/Jan/2025:00:00:14 +0000,172.71.246.77,GET,404,/geju.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
4,29/Jan/2025:00:00:16 +0000,172.71.172.66,GET,301,/wp-content/plugins/about.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
5,29/Jan/2025:00:00:16 +0000,172.70.251.232,GET,404,/wp-content/plugins/about.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
6,29/Jan/2025:00:00:16 +0000,172.71.250.82,GET,301,/wp.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
7,29/Jan/2025:00:00:17 +0000,141.101.68.101,GET,404,/wp.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
8,29/Jan/2025:00:00:17 +0000,172.71.250.111,GET,301,/hoot.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
9,29/Jan/2025:00:00:18 +0000,172.70.242.69,GET,404,/hoot.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
10,29/Jan/2025:00:00:18 +0000,172.71.148.79,GET,301,/about.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
11,29/Jan/2025:00:00:19 +0000,141.101.69.156,GET,404,/about.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
12,29/Jan/2025:00:00:19 +0000,172.71.148.79,GET,301,/admin.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
13,29/Jan/2025:00:00:19 +0000,141.101.97.125,GET,404,/admin.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
14,29/Jan/2025:00:00:20 +0000,172.71.246.35,GET,301,/wp-content/plugins/admin.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
15,29/Jan/2025:00:00:20 +0000,141.101.95.73,GET,404,/wp-content/plugins/admin.php,-,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
