LogID,Timestamp,LogLevel,Message,LogType
1,Wed Jan 29 00:00:02 2024,notice,2898323] AH00163: Apache/2.4.52 (Ubuntu) OpenSSL/3.0.2 configured -- resuming normal operations,T1
2,Wed Jan 29 00:00:02 2024,notice,2898323] AH00094: Command line: '/usr/sbin/apache2',T2
3,Wed Jan 29 00:36:30 2024,error,3631249] [client 128.199.182.55:48804] AH01630: client denied by server configuration: /var/www/rootly.com/server-status,T4
4,Wed Jan 29 02:43:10 2024,error,3632037] [client 64.23.218.208:60720] AH01630: client denied by server configuration: /var/www/rootly.com/server-status,T4
5,Tue Jan 28 00:00:00 2024,notice,2898323] AH00163: Apache/2.4.52 (Ubuntu) OpenSSL/3.0.2 configured -- resuming normal operations,T1
6,Tue Jan 28 00:00:00 2024,notice,2898323] AH00094: Command line: '/usr/sbin/apache2',T2
7,Tue Jan 28 01:30:41 2024,error,3614263] [client 167.94.138.188:44188] AH02032: Hostname www.sylvainkalache.com provided via SNI and hostname 15.235.49.49 provided via HTTP have no compatible SSL setup,T6
8,Tue Jan 28 03:16:50 2024,error,3614152] [client 42.52.32.221:20928] AH10244: invalid URI path (/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh),T8
9,Tue Jan 28 03:16:57 2024,error,3614151] [client 42.52.32.221:21624] AH10244: invalid URI path (/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh),T8
10,Tue Jan 28 03:39:58 2024,error,3614262] [client 78.153.140.224:60466] AH10244: invalid URI path (/../.env),T8
11,Tue Jan 28 09:21:19 2024,error,3614202] [client 115.236.79.230:36324] AH10244: invalid URI path (/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh),T8
12,Tue Jan 28 09:21:22 2024,error,3618871] [client 115.236.79.230:51478] AH10244: invalid URI path (/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh),T8
13,Tue Jan 28 10:14:24 2024,error,3623863] [client 162.158.49.6:54508] AH01630: client denied by server configuration: /var/www/rootly.com/wp-content/uploads/wpcf7_uploads/,T4
